,type,from,to,arcrole,order
132,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_ProfitAttributableToAbstract,http://xbrl.org/int/dim/arcrole/domain-member,16
133,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_ProfitLossAttributableToOwnersOfParent,http://xbrl.org/int/dim/arcrole/domain-member,17
134,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_ProfitLossAttributableToNonControllingInterests,http://xbrl.org/int/dim/arcrole/domain-member,18
135,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_OtherComprehensiveIncomeAbstract,http://xbrl.org/int/dim/arcrole/domain-member,19
136,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_ComprehensiveIncome,http://xbrl.org/int/dim/arcrole/domain-member,20
137,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_ComprehensiveIncomeAttributableToAbstract,http://xbrl.org/int/dim/arcrole/domain-member,21
138,arc,jppfs_cor_YearToQuarterEndConsolidatedStatementOfComprehensiveIncomeSingleStatementHeading,jppfs_cor_StatementOfIncomeTable,http://xbrl.org/int/dim/arcrole/all,1
139,arc,jppfs_cor_StatementOfIncomeTable,jppfs_cor_ConsolidatedOrNonConsolidatedAxis,http://xbrl.org/int/dim/arcrole/hypercube-dimension,1
140,arc,jppfs_cor_ConsolidatedOrNonConsolidatedAxis,jppfs_cor_ConsolidatedMember,http://xbrl.org/int/dim/arcrole/dimension-domain,1
141,arc,jppfs_cor_ConsolidatedOrNonConsolidatedAxis,jppfs_cor_ConsolidatedMember_2,http://xbrl.org/int/dim/arcrole/dimension-default,1
142,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivitiesAbstract,jppfs_cor_RepaymentOfLongTermLoansPayableFinCF,http://xbrl.org/int/dim/arcrole/domain-member,1
143,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivitiesAbstract,jppfs_cor_ProceedsFromIssuanceOfCommonStockFinCF,http://xbrl.org/int/dim/arcrole/domain-member,2
144,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivitiesAbstract,jppfs_cor_PurchaseOfTreasuryStockFinCF,http://xbrl.org/int/dim/arcrole/domain-member,3
145,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivitiesAbstract,jppfs_cor_ProceedsFromDisposalOfTreasuryStockFinCF,http://xbrl.org/int/dim/arcrole/domain-member,4
146,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivitiesAbstract,jppfs_cor_CashDividendsPaidFinCF,http://xbrl.org/int/dim/arcrole/domain-member,5
147,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivitiesAbstract,jppfs_cor_RepaymentsOfLeaseObligationsFinCF,http://xbrl.org/int/dim/arcrole/domain-member,6
148,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivitiesAbstract,jppfs_cor_ProceedsFromShareIssuanceToNonControllingShareholdersFinCF,http://xbrl.org/int/dim/arcrole/domain-member,7
149,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivitiesAbstract,jppfs_cor_ProceedsFromChangesInOwnershipInterestsInSubsidiariesThatDoNotResultInChangeInScopeOfConsolidationFinCF,http://xbrl.org/int/dim/arcrole/domain-member,8
150,arc,jppfs_cor_NetCashProvidedByUsedInFinancingActivitiesAbstract,jppfs_cor_NetCashProvidedByUsedInFinancingActivities,http://xbrl.org/int/dim/arcrole/domain-member,9
151,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivitiesAbstract,jppfs_cor_ProceedsFromWithdrawalOfTimeDepositsInvCF,http://xbrl.org/int/dim/arcrole/domain-member,1
152,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivitiesAbstract,jppfs_cor_PurchaseOfPropertyPlantAndEquipmentInvCF,http://xbrl.org/int/dim/arcrole/domain-member,2
153,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivitiesAbstract,jppfs_cor_PurchaseOfIntangibleAssetsInvCF,http://xbrl.org/int/dim/arcrole/domain-member,3
154,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivitiesAbstract,jppfs_cor_ProceedsFromSalesOfInvestmentSecuritiesInvCF,http://xbrl.org/int/dim/arcrole/domain-member,4
155,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivitiesAbstract,jppfs_cor_CollectionOfLoansReceivableInvCF,http://xbrl.org/int/dim/arcrole/domain-member,5
156,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivitiesAbstract,jppfs_cor_PaymentsForGuaranteeDepositsInvCF,http://xbrl.org/int/dim/arcrole/domain-member,6
157,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivitiesAbstract,jppfs_cor_ProceedsFromCollectionOfGuaranteeDepositsInvCF,http://xbrl.org/int/dim/arcrole/domain-member,7
158,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivitiesAbstract,jppfs_cor_OtherNetInvCF,http://xbrl.org/int/dim/arcrole/domain-member,8
159,arc,jppfs_cor_NetCashProvidedByUsedInInvestmentActivitiesAbstract,jppfs_cor_NetCashProvidedByUsedInInvestmentActivities,http://xbrl.org/int/dim/arcrole/domain-member,9
